accession
GCA_024206675.1
GCA_024206695.1
GCA_024206715.1
GCA_024206735.1
GCA_024206755.1
GCA_024220075.1
GCA_024220115.1
GCA_024498155.1
GCA_024509515.2
GCA_024582755.1
GCA_024582915.1
GCA_024582935.1
GCA_024582955.1
GCA_024582975.1
GCA_024582995.1
GCA_024583015.1
GCA_024583035.1
GCA_024583055.1
GCA_024583075.1
GCA_024583095.1
GCA_024583115.1
GCA_024583135.1
GCA_024753125.1
GCA_025349925.1
GCA_025946865.1
GCA_025946885.1
GCA_025946905.1
GCA_025946925.1
GCA_025946945.1
GCA_025980045.1
GCA_029203915.2
GCA_029542025.1
GCA_029542065.1
GCA_029542385.1
GCA_031629215.1
GCA_031767395.1
GCA_031767605.1
GCA_031767625.1
GCA_031767645.1
GCA_032147025.1
GCA_032147105.1
GCA_032230435.1
GCA_032230945.1
GCA_032230965.1
GCA_032230985.1
GCA_032231005.1
GCA_034047115.1
GCA_034317095.1
GCA_034440185.1
GCA_036320595.1
GCA_037940715.1
GCA_038650695.1
GCA_044361715.1
GCA_046245185.1
GCA_048213105.1
GCA_049163785.1
GCA_049163795.1
GCA_049164385.1
GCA_049164415.1
GCA_049164905.1
GCA_049164955.1
GCA_049165385.1
GCA_049165415.1
GCA_049165925.1
GCA_049165935.1
GCA_049166465.1
GCA_049166495.1
GCA_049166525.1
GCA_049166535.1
GCA_049166545.1
GCA_049166555.1
GCA_049166565.1
GCA_000014305.1
GCA_000014325.1
GCA_000018185.1
GCA_000026725.1
GCA_000026745.1
GCA_000091905.1
GCA_000168355.3
GCA_000186405.1
GCA_000204625.1
GCA_000231865.1
GCA_000231885.1
GCA_000231905.1
GCA_000231925.1
GCA_000233575.1
GCA_000294495.1
GCA_000344765.1
GCA_000390245.1
GCA_000471985.1
GCA_000494895.1
GCA_000732355.1
GCA_024220135.1
GCA_900143575.1
GCA_900475585.1
GCA_901543625.1
GCA_902702745.1
GCA_902702755.1
GCA_902702765.1
GCA_902702775.1
GCA_902702785.1
GCA_947096915.1
GCA_947097575.1
GCA_947098765.1
GCA_947098795.1
GCA_947098835.1
GCA_947098855.1
GCA_947099305.1
GCA_947101065.1
GCF_000014305.1
GCF_000014325.1
GCF_000018185.1
GCF_000026725.1
GCF_000026745.1
GCF_000091905.1
GCF_000168355.3
GCF_000186405.1
GCF_000204625.1
GCF_000231865.1
GCF_000231885.1
GCF_000231905.1
GCF_000231925.1
GCF_000233575.1
GCF_000294495.1
GCF_000344765.1
GCF_000390245.1
GCF_000471985.1
GCF_000494895.1
GCF_000732355.1
GCF_024220135.1
